내부온도,내부습도,측정일시,누적일사량,내부Co2,품목명
25.27111111,76.28444444,2.01801E+13,0,423.6666667,토마토
23.43777778,84.18166667,2.01801E+13,0,536.0833333,토마토
23.99166667,84.05611111,2.01801E+13,0,547.6666667,토마토
26.49833333,84.90277778,2.01801E+13,0,549.5,토마토
24.91333333,87.01833333,2.01801E+13,0,538.7833333,토마토
21.24555556,87.31222222,2.01801E+13,0,426.15,토마토
17.20277778,84.06222222,2.01801E+13,0,445.7666667,토마토
21.135,83.27444444,2.01801E+13,0,452.6,토마토
20.82,99.5025,2.0171E+13,0,547.2666667,토마토
20.11416667,99.40416667,2.0171E+13,0,597.15,토마토
22.33166667,99.365,2.0171E+13,0,548.3833333,토마토
23.62,99.62,2.0171E+13,0,526.5166667,토마토
22.6275,99.58,2.0171E+13,0,525.95,토마토
21.17416667,99.56083333,2.0171E+13,0,491.35,토마토
19.5175,99.4525,2.0171E+13,0,638.0333333,토마토
21.3325,99.48916667,2.0171E+13,0,486.35,토마토
20.13833333,99.37333333,2.0171E+13,0,488.8833333,토마토
19.52916667,99.30833333,2.0171E+13,0,505.7833333,토마토
22.23,89.91333333,2.0171E+13,0,380,토마토
22.24137931,90.27241379,2.0171E+13,0,380,토마토
21.82333333,90.83,2.0171E+13,0,380,토마토
22.10333333,91.64666667,2.0171E+13,0,380,토마토
22.06551724,92.34137931,2.0171E+13,0,380,토마토
22.09666667,92.44333333,2.0171E+13,0,380,토마토
22.06,93.61333333,2.0171E+13,0,380,토마토
18.71034483,99.34137931,2.0171E+13,0,380,토마토
18.22333333,99.05666667,2.0171E+13,1545,380,토마토
14.02666667,96.80333333,2.01802E+13,0,380,토마토
29.47442623,77.02557377,2.01708E+13,0,311.9377049,토마토
30.6019544,73.94299674,2.01708E+13,0,326.1042345,토마토
30.91331169,72.41136364,2.01708E+13,0,331.3409091,토마토
29.34869281,77.00653595,2.01708E+13,0,317.2712418,토마토
28.08954248,80.13986928,2.01708E+13,0,317.9901961,토마토
31.24150327,69.65228758,2.01708E+13,0,329.6111111,토마토
29.96437908,74.21013072,2.01708E+13,0,319.0196078,토마토
30.3057508,73.31693291,2.01708E+13,0,325.1853035,토마토
29.77220447,75.21309904,2.01708E+13,0,331.913738,토마토
29.26923077,76.38653846,2.01708E+13,0,326.0705128,토마토
21.39,99.27,2.0171E+13,0,322.32,토마토
19.37,91.4,2.0171E+13,0,347.08,토마토
16.17,99.18,2.0171E+13,0,584.6,토마토
16.21,99.38,2.0171E+13,0,586.71,토마토
16.76,99.54,2.0171E+13,0,578.44,토마토
18.2,99.74,2.0171E+13,0,509.15,토마토
19.16,99.69,2.0171E+13,0,438.41,토마토
25.73,94.98,2.01708E+13,0,402.2,토마토
24.95,98.09,2.01708E+13,0,419.03,토마토
24.64,99.66,2.01708E+13,0,431.03,토마토
30.59333333,83.08333333,2.01708E+13,0,483.45,토마토
30.30338983,84.32881356,2.01708E+13,0,475.6610169,토마토
30.155,85.59333333,2.01708E+13,0,481.8666667,토마토
32.30508475,68.9220339,2.01708E+13,0,451.3220339,토마토
31.52033898,75.62033898,2.01708E+13,0,480.0847458,토마토
30.98135593,78.89830508,2.01708E+13,0,485.8305085,토마토
30.85932203,80.63728814,2.01708E+13,0,485.3050847,토마토
29.59322034,79.18983051,2.01708E+13,0,434.8983051,토마토
29.555,82.29,2.01708E+13,0,452.6,토마토
29.1440678,82.84067797,2.01708E+13,0,452.5423729,토마토
16.555,92.27333333,2.01801E+13,0,785.0666667,토마토
17.87118644,91.90847458,2.01801E+13,0,808.8305085,토마토
18.45932203,92.19322034,2.01801E+13,0,826.8644068,토마토
20.07833333,87.96,2.01801E+13,0,807.7,토마토
16.38666667,92.96,2.01801E+13,830,714.65,토마토
16.63559322,92.9559322,2.01801E+13,0,728.7118644,토마토
16.74333333,92.71666667,2.01801E+13,0,739.4666667,토마토
16.72833333,92.77333333,2.01801E+13,0,754.0666667,토마토
16.75084746,92.82711864,2.01801E+13,0,760.9830508,토마토
16.68333333,92.53,2.01801E+13,0,767.1833333,토마토
34.33898305,46.15254237,2.01708E+13,0,388.9661017,토마토
32.14237288,53.1779661,2.01708E+13,0,414.4237288,토마토
30.70333333,58.46666667,2.01708E+13,0,446.9333333,토마토
37.38813559,47.13559322,2.01708E+13,0,401.2711864,토마토
38.04067797,44.50847458,2.01708E+13,0,397,토마토
39.18813559,43.94915254,2.01708E+13,0,390.4237288,토마토
39.96271186,46.70338983,2.01708E+13,0,388,토마토
39.23050847,43.53389831,2.01708E+13,0,390.8135593,토마토
37.965,43.16666667,2.01708E+13,0,390.7166667,토마토
35.69491525,42.48305085,2.01708E+13,0,388.4745763,토마토
19.895,95,2.0171E+13,0,471.25,토마토
19.865,95.92,2.0171E+13,0,496.92,토마토
19.86,96,2.0171E+13,0,524.36,토마토
19.145,96,2.0171E+13,0,546.5,토마토
18.31,96,2.0171E+13,0,573,토마토
18.035,96,2.0171E+13,0,588,토마토
19.685,92.9,2.0171E+13,0,446.4,토마토
17.83,96,2.0171E+13,0,493.64,토마토
17.9,96,2.0171E+13,0,506,토마토
17.945,96.86,2.0171E+13,0,522.29,토마토
20.01666667,90.835,2.01709E+13,0,382.8666667,토마토
19.72333333,91.35833333,2.01709E+13,0,393.7166667,토마토
19.57666667,91.21333333,2.01709E+13,0,390.1166667,토마토
23.67,81.125,2.01709E+13,0,331.9666667,토마토
22.74333333,85.06,2.01709E+13,0,357.05,토마토
22.22666667,86.28333333,2.01709E+13,0,378.5333333,토마토
21.74333333,86.83,2.01709E+13,0,395.6666667,토마토
21.28166667,87.04166667,2.01709E+13,0,407.65,토마토
20.935,88.22666667,2.01709E+13,0,403.9833333,토마토
20.25833333,89.94166667,2.01709E+13,0,379.9166667,토마토
17.76666667,54.885,2.0181E+13,1448,413.9333333,토마토
17.54666667,54.8,2.01811E+13,0,418.9666667,토마토
17.70666667,53.85333333,2.01811E+13,0,424.3666667,토마토
17.65166667,53.29,2.01811E+13,0,431.5666667,토마토
17.32,54.19666667,2.01811E+13,0,437.2333333,토마토
18.1,51.70333333,2.01811E+13,0,441.0166667,토마토
17.37333333,53.48166667,2.01811E+13,0,448.5166667,토마토
19.35333333,60.235,2.01811E+13,0,471.1,토마토
20.875,52.92833333,2.01811E+13,0,371.9166667,토마토
22.44833333,45.565,2.01811E+13,0,344.15,토마토
25.44,94.81,2.0181E+13,0,362,토마토
24.64,100,2.0181E+13,0,367.16,토마토
22.96,100,2.0181E+13,0,359.2,토마토
19.36,100,2.0181E+13,0,367.4,토마토
15.46,100,2.0181E+13,0,401.4,토마토
28.55,16,2.01808E+13,0,28.25,토마토
27.12,16,2.01808E+13,0,26.82,토마토
26.62,16,2.01808E+13,0,26.5,토마토
26.6,16,2.01808E+13,0,26.4,토마토
26.5,16,2.01808E+13,0,26.3,토마토
21.86916667,93.15333333,2.01809E+13,0,373.9,토마토
20.9325,95.21416667,2.01809E+13,0,381.6166667,토마토
20.08083333,95.31,2.01809E+13,0,393.65,토마토
19.32583333,95.1625,2.01809E+13,0,415.9333333,토마토
24.2475,96.5625,2.01809E+13,0,316.8666667,토마토
25.07666667,95.16916667,2.01809E+13,0,272.45,토마토
25.3975,89.35333333,2.01809E+13,0,319.2666667,토마토
23.21166667,91.7075,2.01809E+13,0,353.2166667,토마토
23.71083333,89.48416667,2.01809E+13,0,334.5166667,토마토
23.47916667,89.555,2.01809E+13,0,346.4833333,토마토
26.59,53.48333333,2.0181E+13,0,327.6,토마토
26.73333333,60.39055556,2.0181E+13,0,316.0833333,토마토
19.39833333,67.29388889,2.0181E+13,0,442.4666667,토마토
21.84333333,63.05944444,2.0181E+13,0,354.3333333,토마토
23.79083333,54.19277778,2.0181E+13,0,328.75,토마토
24.595,51.64611111,2.0181E+13,0,329.45,토마토
25.84666667,53.96222222,2.0181E+13,0,334.0833333,토마토
18.96333333,78.18888889,2.0181E+13,0,365.3166667,토마토
