내부온도,내부습도,측정일시,누적일사량,내부Co2,품목명
19.07222222,82.37777778,2.01709E+13,0,269.7166667,파프리카
18.35,84.51666667,2.01709E+13,0,276.7833333,파프리카
17.54444444,86.67777778,2.01709E+13,0,288.95,파프리카
17.1,87.22222222,2.01709E+13,0,301.5166667,파프리카
17.24444444,83.07222222,2.0171E+13,0,369.15,파프리카
18.57777778,83.63888889,2.0171E+13,0,394.75,파프리카
18.42777778,84.35,2.0171E+13,0,411.9,파프리카
19.07222222,84.49444444,2.0171E+13,1738,439.7666667,파프리카
18.52777778,85.79444444,2.0171E+13,0,463.6166667,파프리카
17.15555556,85.37777778,2.0171E+13,0,340.9666667,파프리카
17.1,85.17777778,2.0171E+13,0,357.9833333,파프리카
28.03333333,51.82777778,2.0171E+13,0,387.2833333,파프리카
27.52777778,61.09444444,2.0171E+13,0,434.85,파프리카
18.86111111,85.26666667,2.0171E+13,0,579.9666667,파프리카
31.5775,87.60833333,2.0171E+13,0,0,파프리카
29.1,85.52916667,2.0171E+13,0,0,파프리카
24.18333333,84.53083333,2.0171E+13,0,0,파프리카
20.45583333,83.44416667,2.0171E+13,0,0,파프리카
17.88916667,80.945,2.0171E+13,0,0,파프리카
11.59,81.135,2.0171E+13,0,0,파프리카
11.0925,83.93666667,2.0171E+13,0,0,파프리카
10.46916667,85.16666667,2.0171E+13,0,0,파프리카
11.63,86.55166667,2.0171E+13,0,0,파프리카
18.64333333,89.77,2.0171E+13,0,0,파프리카
17.74111111,74.56833333,2.0171E+13,0,390.5666667,파프리카
23.54277778,58.58833333,2.0171E+13,0,342.6333333,파프리카
22.07333333,69.79611111,2.0171E+13,0,339.7,파프리카
20.83888889,73.59611111,2.0171E+13,0,348.1,파프리카
20.06944444,72.98611111,2.0171E+13,0,358.45,파프리카
19.08444444,73.68722222,2.0171E+13,0,369.5333333,파프리카
18.36166667,74.03111111,2.0171E+13,0,381.2666667,파프리카
26.14555556,52.68222222,2.0171E+13,0,342.3333333,파프리카
27.315,43.78444444,2.0171E+13,0,338.7666667,파프리카
19.38333333,69.935,2.0171E+13,0,387.7666667,파프리카
20.12222222,99.57222222,2.01708E+13,0,443.2833333,파프리카
19.74444444,99.55555556,2.01708E+13,0,459.5666667,파프리카
22.88333333,99.44444444,2.01708E+13,0,411.1833333,파프리카
21.85555556,99.65555556,2.01708E+13,1748,421.1166667,파프리카
21.07222222,99.43333333,2.01708E+13,0,427.0833333,파프리카
20.72777778,99.4,2.01708E+13,0,430.9166667,파프리카
20.46666667,99.49444444,2.01708E+13,0,434.6333333,파프리카
34.14444444,100,2.01708E+13,0,437.3333333,파프리카
32.21666667,100,2.01708E+13,0,436.7833333,파프리카
28.3,100,2.01708E+13,0,404.5666667,파프리카
18.32166667,92.195,2.01709E+13,0,704.5666667,파프리카
18.1625,92.51,2.01709E+13,0,712.4833333,파프리카
19.875,88.965,2.01709E+13,0,705.3166667,파프리카
18.01666667,88.69416667,2.01709E+13,0,672.4166667,파프리카
18.10833333,90.01416667,2.01709E+13,0,684.9333333,파프리카
18.25583333,90.6425,2.01709E+13,0,692.8333333,파프리카
18.39583333,90.99833333,2.01709E+13,0,698.8166667,파프리카
19.97666667,90.8325,2.01709E+13,0,648.0333333,파프리카
19.47583333,90.74916667,2.01709E+13,0,660,파프리카
23.63,85.22666667,2.01709E+13,0,557.4833333,파프리카
18,93,2.01709E+13,0,434,파프리카
18.01,95,2.01709E+13,0,444.32,파프리카
18.2,95,2.01709E+13,0,457.74,파프리카
17.9,95,2.01709E+13,0,459.26,파프리카
19.9,86,2.01709E+13,0,399,파프리카
18.91,89.93,2.01709E+13,0,407.78,파프리카
18.3,92,2.01709E+13,0,424,파프리카
16.8,89.01,2.01709E+13,0,606.99,파프리카
16.8,89,2.01709E+13,0,629.98,파프리카
16.8,88.99,2.01709E+13,0,654.99,파프리카
21.31,95.9525,2.01708E+13,0,380.16,파프리카
20.61,94.95,2.01708E+13,0,365.6,파프리카
25.545,95.165,2.01708E+13,0,370.52,파프리카
25.51,96,2.01708E+13,1849,376.18,파프리카
24.98,96.545,2.01708E+13,0,379,파프리카
24.25,96.5475,2.01708E+13,0,381.19,파프리카
23.52,96.5,2.01708E+13,0,385,파프리카
22.835,96,2.01708E+13,0,387.19,파프리카
22.365,96,2.01708E+13,0,390,파프리카
30.81,57.72,2.01708E+13,0,352.84,파프리카
