내부온도,내부습도,수집일,누적일사량,내부Co2,품목명
23.53,89.05,2.01801E+13,0,427.45,딸기
25.28,78.58,2.01801E+13,0,409.05,딸기
9.651666667,91.91,2.01801E+13,0,644.9666667,딸기
9.735,90.795,2.01801E+13,0,657.8833333,딸기
9.691666667,90.11833333,2.01801E+13,0,671.7833333,딸기
9.796666667,90.11,2.01801E+13,0,740.0833333,딸기
10.06166667,90.49166667,2.01801E+13,0,904.6333333,딸기
10.62,94.09166667,2.01801E+13,0,525.1333333,딸기
10.13666667,93.57833333,2.01801E+13,0,545.05,딸기
10.29,93.33166667,2.01801E+13,0,563.8166667,딸기
10.00166667,93.98,2.01801E+13,931,581.5666667,딸기
9.898333333,93.34333333,2.01801E+13,0,599.85,딸기
11.90333333,97.78666667,2.01801E+13,0,504.5833333,딸기
11.65333333,97.805,2.01801E+13,0,521.5,딸기
10.28,97.92,2.01801E+13,0,553.6833333,딸기
10.23166667,98.02833333,2.01801E+13,0,565.1833333,딸기
10.29833333,97.55,2.01801E+13,0,573.5666667,딸기
10.575,96.29166667,2.01801E+13,0,582.3166667,딸기
10.755,95.70333333,2.01801E+13,0,589.9333333,딸기
10.54666667,96.285,2.01801E+13,0,594.4333333,딸기
11.075,94.58833333,2.01801E+13,0,599.55,딸기
10.72666667,86.92666667,2.01801E+13,0,411.3333333,딸기
20.77166667,95.2,2.01801E+13,0,433.6,딸기
20.5,95.77666667,2.01801E+13,0,435.5,딸기
20.205,96.20333333,2.01801E+13,1804,446.0333333,딸기
19.99166667,96.21333333,2.01801E+13,0,485.85,딸기
20.105,96.075,2.01801E+13,0,488.8666667,딸기
20.63333333,95.76,2.01801E+13,0,489.5333333,딸기
20.93,95.825,2.01801E+13,0,467.8166667,딸기
29.215,60.135,2.01801E+13,0,333.4666667,딸기
29.275,61.26,2.01801E+13,0,330.2333333,딸기
28.20666667,65.86,2.01801E+13,0,345.1833333,딸기
20.60508475,99.9,2.01801E+13,0,301.2542373,딸기
15.04237288,99.81864407,2.01801E+13,0,380,딸기
9.861666667,90.51,2.01801E+13,0,380,딸기
13.71186441,89.92542373,2.01801E+13,0,380,딸기
19.98813559,96.74915254,2.01801E+13,0,1419.847458,딸기
21.545,98.5,2.01801E+13,0,880.05,딸기
21.97118644,99.31694915,2.01801E+13,0,392.0508475,딸기
21.83898305,97.58813559,2.01801E+13,0,367.1186441,딸기
21.77833333,98.13166667,2.01801E+13,0,276.7,딸기
10.24166667,93.33333333,2.01801E+13,0,2046.133333,딸기
